Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
100	-960.2504	-934.0366	-26.21379	0.799463	2.2555	1.57165	3.5554	2.29024	1.55502	6.28192	5.5467	5.6205	8.31923	0.88301	2.49121	1.7359	1.89122	1.21825	0.827163	0.799463	2.2555	1.57165	0	0	0	0	0	0	1.1405	0	0.369092	0	-0.443789	-0.258941	0.4564221	1.364104	0.9053842	2.330785	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	-0.955316	0.448079	0	0	0.216607	0.561634	0.644882	0	2.33078	0.456422	2.787207	1.89122	1.21825	0.827163
110	-960.8602	-935.1483	-25.71186	0.420086	0.696088	0.62113	3.83934	1.14722	1.63521	5.8866	6.19583	3.69005	7.87598	0.653334	1.08258	0.966006	2.6129	0.780754	1.11286	0.420086	0.696088	0.62113	0	0	0	0	0	0.643316	0.154887	-0.572184	1.26275	0	-0.567046	-0.408526	0.5915399	1.282962	0.6429878	1.931197	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	-0.802105	0	0	0	-0.380903	0	0	0.40995	1.9312	0.59154	2.522737	2.6129	0.780754	1.11286
120	-962.1363	-936.1612	-25.97503	0.262101	0.52171	0.341154	3.57746	0.799285	1.23291	6.63948	7.85371	4.68887	9.54788	0.693918	1.38124	0.903214	2.77982	0.621074	0.958016	0.262101	0.52171	0.341154	0	0	0	0	0	-0.861161	0	0	1.08397	0	-0.771702	-0.404776	1.858095	1.086573	0.3777112	1.521957	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1.50608	0.604097	0	0	0	-0.072107	0	0.251596	1.52196	1.8581	3.380052	2.77982	0.621074	0.958016
130	-954.366	-934.5991	-19.76696	0.381935	0.381935	0.381935	3.33563	0.707263	1.06726	4.82372	5.18372	4.00671	6.65752	1	1	1	2.44637	0.51871	0.782737	0.381935	0.381935	0.381935	0	0	0	0	0	0	0	0	0	0	-0.771702	-0.336919	0.7498752	0.8975853	0.3819353	1.360432	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	-0.773652	0.276729	0	0	0	0	0	-0.00338232	1.36043	0.749875	2.110307	2.44637	0.51871	0.782737
140	-958.9244	-935.4367	-23.4877	0.191925	0.57292	0.311028	2.83754	0.90297	1.4084	4.68889	5.31661	4.37329	7.00614	0.591276	1.76503	0.958204	2.5784	0.820504	1.27977	0.191925	0.57292	0.311028	0	0	0	0	0	-0.35242	0.751199	0	1.55883	0	-0.843665	-0.35195	0.8854758	1.061393	0.3245952	1.533841	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0.341841	0	0	0	0	0	0.498005	1.53384	0.885476	2.419317	2.5784	0.820504	1.27977
150	-960.7243	-936.1752	-24.54914	0.202195	0.540541	0.701743	3.28359	0.593844	0.932997	5.28991	5.73119	4.74958	7.55373	0.698378	1.86702	2.4238	2.68977	0.486451	0.76427	0.202195	0.540541	0.701743	0	0	0	0	0	-0.20284	0	0	0.101615	0.172446	-0.843665	-0.374406	1.311937	1.132912	0.2895214	1.22077	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	-0.867384	-0.292757	0	0	-0.356628	0.753656	0	0	1.22077	1.31194	2.532707	2.68977	0.486451	0.76427
160	-958.8421	-934.0084	-24.83373	0.311632	1.01377	0.892118	3.00553	0.990951	1.62964	4.84368	5.95587	3.38835	7.03052	0.475307	1.54622	1.36068	1.37236	0.452479	0.744109	0.311632	1.01377	0.892118	0	0	0	0	-0.549051	-0.876491	0	0	0	0.394975	0.985232	-0.344449	0.6652801	1.350653	0.6556435	1.69312	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	-1.04929	-0.205538	0	0	0	-0.772052	0	1.69312	0.66528	2.358401	1.37236	0.452479	0.744109
170	-963.8156	-935.7879	-28.02767	0.502842	0.871087	0.397373	3.65587	0.703901	1.02385	6.43703	7.21773	7.89308	9.87759	1.04054	1.80256	0.822293	2.45978	0.473606	0.688878	0.502842	0.871087	0.397373	0	0	0	0	-0.388205	-0.289676	-0.672863	0	1.07327	-0.213227	0	-0.477963	2.167599	1.239309	0.48325	1.381168	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	0	0.822806	-0.298067	-0.011847	0.433291	0	-0.219997	0	1.38117	2.1676	3.548767	2.45978	0.473606	0.688878
180	-955.0474	-934.8309	-20.2165	0.487316	0.487316	0.487316	3.59742	0.80226	0.943923	5.75057	5.89224	2.96212	7.29892	1	1	1	2.57579	0.574426	0.675858	0.487316	0.487316	0.487316	0	0	0	0	0	0	-1.66309	0	0	0	0	-0.502434	0.9218691	0.9192543	0.4873164	1.396628	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	-0.105251	0	0.649038	0	0	0	0	1.39663	0.921869	2.318498	2.57579	0.574426	0.675858
190	-954.7475	-935.9173	-18.83019	0.50867	0.608344	0.50867	3.77073	0.681203	0.819994	5.95398	6.09277	2.67668	7.3418	1	1.19595	1	2.94163	0.531422	0.639696	0.50867	0.608344	0.50867	0	0	0	0	0	0	0	0	0	0	0	-0.572958	0.9763263	1.045687	0.5086696	1.281851	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0.245157	0	0	0.287551	0.178941	0	0	0	1.28185	0.976326	2.258177	2.94163	0.531422	0.639696
200	-959.0716	-934.4168	-24.65478	0.926154	1.53087	0.926154	3.44192	0.962169	1.18547	5.2348	5.29699	3.25905	6.85356	1	1.65293	1	2.06921	0.578436	0.712678	0.926154	1.53087	0.926154	0	0	0	0	0	0.626429	-0.877836	0	0	0	0.22537	-0.426488	0.5975653	1.164657	0.926154	1.577541	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	-1.44151	-0.377533	0	0	0.50255	0	-0.158986	0	1.57754	0.597565	2.175106	2.06921	0.578436	0.712678
210	-963.3191	-937.5026	-25.81647	1.04715	1.78337	1.72157	4.75376	1.39395	1.59216	7.26274	7.72115	7.49767	10.3037	0.970119	1.65218	1.59492	2.16744	0.635562	0.725931	1.04715	1.78337	1.72157	0	0	0	0	-0.809088	0	-0.589975	0	0.0899955	0	0	-0.410774	1.260666	1.475274	1.079406	2.19326	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	-0.91884	0.671313	0	0.193181	0	0.469291	0	0	2.19326	1.26067	3.453926	2.16744	0.635562	0.725931
220	-956.4089	-934.1104	-22.29859	1.00824	1.55681	1.0846	4.1882	1.09841	1.23666	5.547	5.68525	2.83634	6.9962	0.923611	1.42614	0.993564	1.99328	0.522765	0.588562	1.00824	1.55681	1.0846	0	0	0	0	0	0	-0.106533	0	0.235734	0	0	-0.366293	0.2250545	1.292528	1.091627	1.785178	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	-0.654987	0	0	-0.0177376	0.269047	0	0	-0.244457	1.78518	0.225054	2.010232	1.99328	0.522765	0.588562
230	-956.7086	-934.0155	-22.69312	0.627558	0.849088	0.849088	3.59512	0.672789	1.81184	5.40814	6.77733	3.44792	7.78995	1	1.353	1.353	1.6235	0.30382	0.818199	0.627558	0.849088	0.849088	0	0	0	0	-0.709175	0	-0.229718	0.297664	0	0	0	-0.257327	0.8072352	1.259689	0.6275583	1.636456	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	-0.230751	0	0	0.302326	-0.907386	0	1.63646	0.807235	2.443691	1.6235	0.30382	0.818199
