Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	m_e[1]	m_e[2]	m_e[3]	m_w[1]	m_w[2]	m_w[3]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_b	r_d	r_e	r_w	rj_phi_b[1]	rj_phi_b[2]	rj_phi_d[1]	rj_phi_d[2]	rj_phi_e[1]	rj_phi_e[2]	rj_phi_w[1]	rj_phi_w[2]	rj_sigma_b[1]	rj_sigma_b[2]	rj_sigma_d[1]	rj_sigma_d[2]	rj_sigma_e[1]	rj_sigma_e[2]	rj_sigma_w[1]	rj_sigma_w[2]	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	within_region_features[1]	within_region_features[2]	within_region_features[3]
1230	-957.4941	-935.9352	-21.55891	0.301091	0.679029	0.520659	3.63251	0.82966	0.973639	5.44382	5.58253	3.21323	7.08092	0.635308	1.43277	1.0986	2.5373	0.579516	0.680084	0.301091	0.679029	0.520659	0	0	0	0	0.0207839	0	0	0.18435	0.561789	0.140334	0	-0.49444	0.7774649	1.013881	0.4739289	1.431644	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	-0.188165	0.168955	0	0	0	0	0	0	1.43164	0.777465	2.209109	2.5373	0.579516	0.680084
1240	-957.9288	-934.5008	-23.42799	0.55147	0.821785	0.68028	3.50541	0.898533	1.04136	5.0893	5.41584	2.80772	6.64564	0.816331	1.21647	1.007	2.35928	0.60475	0.700881	0.55147	0.821785	0.68028	0	0	0	0	0	-0.690025	0	-0.0215604	0.461455	0.0251609	0	-0.455811	0.5661638	1.101064	0.6755474	1.485792	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	-0.474488	-1.08978	0	-0.0664103	0	0	0	0	1.48579	0.566164	2.051956	2.35928	0.60475	0.700881
1250	-957.9043	-935.9548	-21.94946	0.996065	0.996065	0.996065	3.65547	1.35337	1.50958	7.38278	7.06444	5.77578	10.0312	1	1	1	2.2745	0.842091	0.939291	0.996065	0.996065	0.996065	0	0	0	0	0.86032	0	0	0	0	0	0.0958153	-0.453529	1.658879	1.076419	0.9960654	1.954665	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0.339889	0	0	0	0.293632	1.95467	1.65888	3.613544	2.2745	0.842091	0.939291
1260	-961.1169	-936.7642	-24.35277	0.596673	0.822439	0.687478	3.34844	1.56021	1.74962	7.84134	6.81414	6.12644	10.244	0.85711	1.18142	0.98755	1.94775	0.90756	1.01774	0.596673	0.822439	0.687478	0	0	0	0	1.26834	0.601708	-0.014815	0	0.457404	0	0	-0.354023	1.692569	1.074257	0.6961451	2.090852	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0.400393	0	0	0	0	0	0.293632	2.09085	1.69257	3.783421	1.94775	0.90756	1.01774
1270	-960.7983	-935.9119	-24.88644	0.847345	1.45993	1.45993	4.41605	1.29519	2.05091	6.44357	6.85525	3.62341	8.37882	1	1.72294	1.72294	1.7201	0.504489	0.79885	0.847345	1.45993	1.45993	0	0	0	0	1.81023	0.480002	0	-0.123331	0	0	0	-0.288018	0.2944037	1.604246	0.8473454	2.272154	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	-0.809326	0	0	0	0.544033	-0.36641	0	2.27215	0.294404	2.566558	1.7201	0.504489	0.79885
1280	-956.387	-933.668	-22.71896	1.05509	1.89163	1.05509	3.67591	1.4443	1.80094	6.68729	7.25305	4.64222	9.27424	1	1.79287	1	1.73191	0.680482	0.848515	1.05509	1.89163	1.05509	0	0	0	0	-0.483216	0	0	-0.40882	0	0	-0.378197	-0.223952	1.109928	1.344608	1.055085	2.122464	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0.176419	0	0.583819	0	0	0	2.12246	1.10993	3.232392	1.73191	0.680482	0.848515
1290	-960.4215	-934.3017	-26.11982	0.873437	3.13039	1.15976	3.7742	1.08625	1.40878	5.32868	5.65361	3.59721	7.16237	0.734468	2.63233	0.975237	2.10358	0.60543	0.785193	0.873437	3.13039	1.15976	0	0	0	0	0	-0.0148519	-0.34488	0.862735	0.915497	0	-0.395831	-0.324037	0.4283647	1.27724	1.18921	1.794178	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	-0.837765	0	0	1.03572	0.634186	0	0	0	1.79418	0.428365	2.222543	2.10358	0.60543	0.785193
1300	-966.0259	-934.6596	-31.36629	1.00293	2.13587	0.754723	3.4151	1.6991	1.25381	6.51495	5.80731	4.79894	8.49662	0.417255	0.888602	0.313993	2.07003	1.0299	0.759987	1.00293	2.13587	0.754723	0	0	0	0	0.799994	0	0	-0.754815	0.558403	0.364191	-0.160546	-0.357617	1.006037	1.3865	2.403634	1.937694	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	-0.0857971	0	0.17543	-0.647448	0.703588	-1.42707	0.482566	0	1.93769	1.00604	2.943731	2.07003	1.0299	0.759987
1310	-966.1026	-937.6489	-28.4537	1.58992	2.57084	1.00644	3.77851	1.92911	2.0749	6.91889	6.97881	6.46437	9.94976	0.503675	0.814424	0.318832	1.5279	0.780067	0.839019	1.58992	2.57084	1.00644	0	0	0	0	0	0.213647	0.786467	0	0	0.364191	0	-0.225101	1.034589	1.06794	3.156636	2.473002	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	-0.972235	0	0.240361	0	0.819948	-1.42707	0	0	2.473	1.03459	3.507591	1.5279	0.780067	0.839019
1320	-970.4571	-937.9815	-32.47559	0.87933	1.36859	0.67202	3.99191	2.09581	2.43215	6.8183	7.07432	4.58067	8.96183	0.410294	0.638582	0.313564	1.4622	0.767675	0.890873	0.87933	1.36859	0.67202	0	0	0	0	0	0.338403	-0.150525	0.522642	0.60831	0.364191	-0.250157	-0.156979	0.1656415	0.639286	2.143171	2.730071	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1.50769	-0.703777	0.240364	1.23805	0.354999	-1.42707	0	0	2.73007	0.165642	2.895713	1.4622	0.767675	0.890873
1330	-961.926	-934.8309	-27.0951	1.14896	3.2691	2.91887	3.36849	2.30357	2.40042	7.14918	6.71569	4.91463	9.00611	0.517196	1.47156	1.31391	1.27075	0.869015	0.905549	1.14896	3.2691	2.91887	0	0	0	0	0	1.29233	-2.15191	0	0	0.350124	0	-0.127239	0.4188443	1.154139	2.221513	2.650787	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	-0.353231	0	1.23583	0	0	0	0	2.65079	0.418844	3.069632	1.27075	0.869015	0.905549
1340	-959.9826	-932.3578	-27.62489	0.764994	2.25414	1.57809	3.59952	1.98939	2.12143	6.00132	6.28898	4.19882	8.098	0.517196	1.52398	1.06691	1.45338	0.80326	0.856572	0.764994	2.25414	1.57809	0	0	0	0	-1.23509	0	-1.3448	0	0	0.350124	0	-0.198548	0.1734373	1.06372	1.479118	2.47665	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0.96604	-0.284919	0	1.23671	0.243237	-0.20824	0	0	2.47665	0.173437	2.650088	1.45338	0.80326	0.856572
1350	-959.0569	-934.8322	-24.22468	0.706317	0.714501	0.706317	4.02581	1.30019	1.6894	6.33277	6.75739	6.15572	9.07544	1	1.01159	1	1.9468	0.628748	0.816961	0.706317	0.714501	0.706317	0	0	0	0	0	-0.100446	0	-0.772193	0	0	-0.441299	-0.274769	1.003119	1.544276	0.7063174	2.067911	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	-1.02184	0	0	-0.916172	0.01152	0	0	0	2.06791	1.00312	3.07103	1.9468	0.628748	0.816961
1360	-961.5273	-936.7152	-24.81213	0.283237	1.42447	1.04514	3.46064	0.824827	2.20351	6.2836	8.00087	6.56809	10.2508	0.377709	1.8996	1.39374	1.37606	0.327977	0.876183	0.283237	1.42447	1.04514	0	0	0	0	0.0277629	-0.475733	0	-0.66738	0.426185	0.440734	0	-0.169516	1.781817	1.023488	0.7498804	1.845914	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	-0.021711	0	0	0	0	-0.927769	0	1.84591	1.78182	3.627731	1.37606	0.327977	0.876183
1370	-959.9246	-935.7902	-24.13437	0.538671	1.30613	1.18659	2.94293	0.99394	2.2723	5.33422	6.12559	3.57397	7.24259	0.572077	1.38712	1.26017	1.14887	0.388017	0.887064	0.538671	1.30613	1.18659	0	0	0	0	0.492861	0.873758	0	0	0	0.296569	0.373575	-0.140567	0.4818543	0.9238106	0.9416063	1.880189	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	-0.552255	0	0.714643	0	0	-0.927769	0	1.88019	0.481854	2.362044	1.14887	0.388017	0.887064
1380	-955.528	-933.3542	-22.1738	0.561849	1.44999	1.31728	3.46008	0.944836	2.48718	5.0239	6.56624	4.68598	8.03042	0.572077	1.47638	1.34126	1.26298	0.344877	0.907853	0.561849	1.44999	1.31728	0	0	0	0	0	0	0	0	0	0.296569	0	-0.123979	0.5426568	1.300868	0.9821224	2.010867	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0.705999	0.0143085	0	0	0.0623603	-0.927769	0	2.01087	0.542657	2.553524	1.26298	0.344877	0.907853
1390	-963.1556	-934.7431	-28.41252	0.696434	1.14031	0.549789	3.63718	0.69632	2.07186	4.76505	6.62241	10.5159	7.92427	0.701897	1.14926	0.554101	1.53631	0.294119	0.875132	0.696434	1.14031	0.549789	0	0	0	0	-0.440817	-1.84643	0	0	1.05006	0	-0.265997	-0.180399	0.8177089	1.251142	0.9922171	1.737711	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	-0.714481	0	-0.265741	0	0.318035	-0.561648	-0.927769	0	1.73771	0.817709	2.55542	1.53631	0.294119	0.875132
1400	-960.764	-933.8298	-26.93424	0.632076	0.899481	0.542858	3.67008	0.592045	1.64998	5.24081	6.32225	4.49542	7.78326	0.558876	0.795313	0.47999	1.76008	0.283929	0.791286	0.632076	0.899481	0.542858	0	0	0	0	0.641697	-0.552283	0	-0.259053	1.72601	0	0	-0.30022	0.8961603	1.251142	1.130977	1.53051	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	-0.560758	-0.171405	-0.686716	-0.927769	0	1.53051	0.89616	2.426671	1.76008	0.283929	0.791286
1410	-955.9793	-935.2302	-20.74911	0.607072	0.607072	0.607072	3.42823	0.644369	1.7663	5.42253	6.23973	2.73041	6.93135	1	1	1	1.59835	0.300426	0.823505	0.607072	0.607072	0.607072	0	0	0	0	0	0.74336	0	0	0	0	0	-0.249037	0.5061909	0.9299677	0.6070719	1.574306	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1.06184	0.538695	0	0	0	0	-0.927769	0	1.57431	0.506191	2.080497	1.59835	0.300426	0.823505
1420	-959.9262	-937.665	-22.26123	0.619467	0.743372	0.67139	3.37776	0.94934	2.49124	5.02071	6.37757	3.80345	7.56177	0.916119	1.09936	0.992907	1.24022	0.348571	0.914714	0.619467	0.743372	0.67139	0	0	0	0	0	0.901627	-1.26246	0	0.259896	0	0	-0.114324	0.3517705	0.8482914	0.6761867	1.999045	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	-0.464529	0	0	0	0	0	-0.927769	0	1.99904	0.351771	2.350815	1.24022	0.348571	0.914714
1430	-961.0782	-939.9247	-21.15356	0.486276	0.965459	0.965459	2.77781	0.78072	2.04875	6.76493	8.34738	5.77221	10.4228	1	1.98541	1.98541	1.24022	0.348571	0.914714	0.486276	0.965459	0.965459	0	0	0	0	-0.360855	0	0	0	0	0	0	-0.114324	2.270839	1.249163	0.486276	1.643977	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0.685827	-0.927769	0	1.64398	2.27084	3.914816	1.24022	0.348571	0.914714
1440	-958.6409	-936.3971	-22.2438	0.527685	1.93188	1.04767	3.71348	0.913097	2.4311	5.11934	6.76688	4.48186	8.07878	1	3.66105	1.98541	1.34929	0.331774	0.883339	0.527685	1.93188	1.04767	0	0	0	0	0	-0.678157	0	0	0	0	0	-0.159085	0.4865695	1.507562	0.5276847	2.020071	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0.0713343	0	0.611921	0.685827	-0.927769	0	2.02007	0.48657	2.506641	1.34929	0.331774	0.883339
1450	-961.2619	-938.2242	-23.03771	0.638365	0.322987	0.322987	3.59754	0.757141	2.02447	4.93665	6.31942	3.13629	7.15187	1	0.50596	0.50596	1.49463	0.31456	0.841082	0.638365	0.322987	0.322987	0	0	0	0	0	-0.525766	0.809489	0	0	0	0.0399005	-0.220549	0.3650409	0.936983	0.6383653	1.766707	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1.14391	0	0	0	0	-0.681299	-0.927769	0	1.76671	0.365041	2.131748	1.49463	0.31456	0.841082
1460	-958.2644	-936.0516	-22.2128	0.522635	0.258782	0.258782	3.37545	0.71201	1.88723	4.58375	5.77523	4.55304	7.02863	1	0.495149	0.495149	1.31456	0.277291	0.734978	0.522635	0.258782	0.258782	0	0	0	0	0	-0.0936183	0	0	0	0	0	-0.145237	0.5215989	0.7721632	0.5226353	1.655315	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	-0.963894	0.290951	0	0	0	-0.702898	-0.927769	-0.194667	1.65531	0.521599	2.176914	1.31456	0.277291	0.734978
1470	-963.4371	-937.4856	-25.95153	0.421353	0.54392	0.559312	3.42045	0.640701	1.82519	5.80492	7.27754	5.48283	9.14398	1.17628	1.51845	1.56142	1.27093	0.238064	0.678184	0.421353	0.54392	0.559312	0	0	0	0	0	-0.444317	0.0809563	-0.128745	0	-0.0862173	-0.233291	-0.0855534	1.542302	1.408528	0.3582071	1.587386	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	-0.172283	0	0.512823	-0.927769	-0.328016	1.58739	1.5423	3.129687	1.27093	0.238064	0.678184
1480	-960.5911	-934.8333	-25.75771	0.998772	1.43129	0.95336	3.98173	0.420494	1.20742	5.37029	6.00466	3.09468	7.15956	0.900844	1.29095	0.859885	1.85736	0.196148	0.563225	0.998772	1.43129	0.95336	0	0	0	0	1.20252	-0.407485	0	0	1.16306	-0.152744	-0.0617702	-0.317733	0.7342216	1.189292	1.108706	1.264433	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	-0.37318	0	0	0	0	-0.927769	-0.328016	1.26443	0.734222	1.998655	1.85736	0.196148	0.563225
1490	-958.5787	-933.9267	-24.65198	0.56472	1.14848	1.13116	3.39814	0.59946	1.59675	4.52926	5.76759	3.92513	6.84995	0.915394	1.86165	1.83358	1.35275	0.238636	0.635642	0.56472	1.14848	1.13116	0	0	0	0	-0.105927	-1.00656	-0.548723	0	0	0.0469431	0	-0.160443	0.6040497	1.26472	0.616915	1.481651	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0.0374471	0	0	0	0	0.569667	-0.927769	-0.328016	1.48165	0.60405	2.0857	1.35275	0.238636	0.635642
1500	-962.1459	-934.7697	-27.37623	0.470515	1.19284	1.19284	3.31821	0.682912	1.47212	4.94178	5.80291	5.01236	7.41621	1	2.53519	2.53519	1.53735	0.316398	0.682046	0.470515	1.19284	1.19284	0	0	0	0	-0.284212	0	-1.49692	0	0	0	-0.739246	-0.0960443	0.9427791	1.314982	0.4705152	1.494184	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	-1.2481	-0.0694629	-0.367608	0	0	0.930268	-0.44732	-0.328016	1.49418	0.942779	2.436964	1.53735	0.316398	0.682046
1510	-955.567	-932.8557	-22.71133	0.785145	1.54842	1.34284	3.95982	1.10779	1.60624	5.38749	6.144	3.97941	7.53183	0.684185	1.34931	1.17017	2.06551	0.577842	0.837843	0.785145	1.54842	1.34284	0	0	0	0	-0.638614	-1.23768	0	0	0	0.201539	-0.739246	-0.252866	0.4118455	1.33248	1.147563	1.917111	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0.0772143	0	0	0	1.91711	0.411846	2.328956	2.06551	0.577842	0.837843
1520	-958.7953	-933.8052	-24.99018	1.28283	2.40945	1.81015	3.92441	1.43069	2.01575	5.46748	6.05204	3.55928	7.5394	0.687429	1.29115	0.970007	1.74792	0.637225	0.897811	1.28283	2.40945	1.81015	0	0	0	0	0.0172636	0	0	-0.209492	1.11185	0	-0.739246	-0.164211	0.07945337	1.341742	1.866126	2.245186	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	-0.155848	0.36205	-0.149714	0	0	0	2.24519	0.0794534	2.32464	1.74792	0.637225	0.897811
1530	-960.5684	-935.7998	-24.76864	1.6907	2.68315	2.55217	4.40412	0.811505	1.84649	6.00281	7.30705	3.06207	8.07249	0.747355	1.18605	1.12815	2.20504	0.406302	0.924496	1.6907	2.68315	2.55217	0	0	0	0	-1.13489	0	0	0	0	0.154643	0	-0.419908	0.4773389	1.481213	2.262252	1.875711	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0.396996	0	0.345958	0	0	0	-0.686249	0.248916	1.87571	0.477339	2.35305	2.20504	0.406302	0.924496
1540	-956.4416	-935.6809	-20.76074	0.606213	2.38784	2.05819	3.17014	1.5198	1.64584	4.85094	4.97698	3.32664	6.57728	0.421295	1.65946	1.43036	1.58975	0.762141	0.825347	0.606213	2.38784	2.05819	0	0	0	0	0	0	0	-1.24512	0	0.459031	0	-0.246171	0.1138475	1.47708	1.438926	1.994114	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0.345957	0	0	0	0	0	1.99411	0.113847	2.107962	1.58975	0.762141	0.825347
1550	-961.3606	-936.9804	-24.38012	0.288778	1.60566	0.922562	3.07128	2.16849	2.25185	5.82653	5.67336	4.56099	7.92474	0.449158	2.49741	1.43493	1.24542	0.879331	0.913132	0.288778	1.60566	0.922562	0	0	0	0	0.361149	1.2273	1.27278	0	1.24747	0.201718	0	-0.116544	0.2040443	1.082272	0.6429308	2.466071	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.237995	0	0	2.46607	0.204044	2.670115	1.24542	0.879331	0.913132
1560	-962.9982	-934.5198	-28.47842	0.620771	2.61558	0.967294	3.31734	1.9167	1.7994	5.608	5.49071	10.3637	7.92851	0.617075	2.6	0.961535	1.42897	0.825632	0.775106	0.620771	2.61558	0.967294	0	0	0	0	0	0	0	0	1.43213	0	-1.05892	0	0.5284912	1.18978	1.00599	2.253326	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	2.87786	0.0660875	0	0.433523	0	0.47811	-0.283758	2.25333	0.528491	2.781817	1.42897	0.825632	0.775106
1570	-957.6683	-933.8816	-23.78674	0.733988	1.71401	1.13431	3.34428	1.50927	2.40921	5.52185	6.21963	4.49165	8.10298	0.701097	1.6372	1.08348	1.42897	0.644894	1.02943	0.733988	1.71401	1.13431	0	0	0	0	1.38967	0	0	0	1.05344	0	-1.05892	0	0.3965551	1.234128	1.046913	2.299581	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0.484003	0	0	0	0	0.109028	-0.0527115	0	2.29958	0.396555	2.696136	1.42897	0.644894	1.02943
1580	-957.6831	-933.8249	-23.85813	0.842399	1.10595	0.740317	3.68154	1.01429	1.62961	6.30984	7.33377	6.26837	9.63802	1	1.31286	0.878819	2.01653	0.555567	0.892605	0.842399	1.10595	0.740317	0	0	0	0	0	-0.655693	-0.461237	0	0	0	-1.05892	-0.182897	1.577287	1.036751	0.8423995	1.825684	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0.361857	0.401385	-0.129176	0	0	1.82568	1.57729	3.40297	2.01653	0.555567	0.892605
1590	-962.0461	-940.3882	-21.65787	0.385191	0.596134	0.385191	3.29058	1.56542	2.37053	5.54526	6.35037	4.69312	8.29278	1	1.54763	1	1.42897	0.679799	1.02943	0.385191	0.596134	0.385191	0	0	0	0	0	0	0	0.0114554	0	0	-1.05892	0	0.5027073	0.7182212	0.3851907	2.302762	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	-0.744409	-0.650434	-0.0251761	0	0.436727	0	0	0	2.30276	0.502707	2.805469	1.42897	0.679799	1.02943
1600	-959.841	-934.5687	-25.27231	1.21188	1.69065	1.11569	4.32303	1.40864	1.54571	6.74328	6.88035	4.25286	8.92043	0.824235	1.14986	0.758812	1.40471	0.457718	0.502257	1.21188	1.69065	1.11569	0	0	0	0	0	0	-0.441129	0	0.57343	0	0	-0.18046	0.7753889	0.9773816	1.470315	2.111404	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0.249679	0	0.360694	0.190929	-0.260296	-0.0344533	-0.54793	2.1114	0.775389	2.886793	1.40471	0.457718	0.502257
1610	-959.1552	-934.552	-24.60321	0.427198	1.35919	1.19897	3.46697	1.28124	1.28871	6.27959	6.44954	5.26435	8.85763	0.482011	1.53358	1.35281	1.34503	0.497061	0.499958	0.427198	1.35919	1.19897	0	0	0	0	0.17437	-0.424344	-0.44608	0	0	0.387537	0.135149	-0.181596	1.336854	1.179742	0.8862824	1.788866	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.01395	0	0	0	-0.54793	1.78887	1.33685	3.12572	1.34503	0.497061	0.499958
1620	-956.5534	-933.1471	-23.40628	0.486156	1.42687	0.709917	3.46421	1.49676	1.76118	5.52334	5.78776	3.82032	7.56571	0.548534	1.60995	0.801005	1.15021	0.496963	0.584757	0.486156	1.42687	0.709917	0	0	0	0	0	0	0	0.695454	1.78142	0	-0.415136	0	0.3976587	0.8377238	0.8862824	2.090195	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1.01056	0	-0.173097	0	-0.54793	2.0902	0.397659	2.487854	1.15021	0.496963	0.584757
1630	-958.5722	-938.6472	-19.925	0.789733	0.789733	0.789733	3.19971	1.8499	1.8499	6.40493	6.50099	5.14116	9.02205	1	1	1	1	0.578146	0.578146	0.789733	0.789733	0.789733	0	0	0	0	-0.264157	0	-0.229217	0	0	0	0	0	1.000633	0.9289279	0.7897331	2.220591	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	-0.124361	0	0	0	0	0	0	-0.54793	2.22059	1.00063	3.221224	1	0.578146	0.578146
1640	-963.714	-935.0233	-28.69062	0.321179	0.967484	0.709705	3.15712	0.689981	1.73934	5.47361	7.39102	4.66723	8.69256	1.15469	3.47827	2.55151	1.05389	0.230326	0.580617	0.321179	0.967484	0.709705	0	0	0	0	0.378139	-1.52746	0	-0.742308	-0.426693	0	-0.155715	0	1.466166	1.056136	0.2781508	1.55897	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1.65537	0	0	0	0.477058	0.925	-0.863576	-0.54793	1.55897	1.46617	3.025136	1.05389	0.230326	0.580617
1650	-960.4474	-939.0941	-21.35334	0.580089	0.580089	0.580089	3.6784	0.896706	2.12665	5.1867	6.32391	4.19345	7.74359	1	1	1	1	0.243776	0.578146	0.580089	0.580089	0.580089	0	0	0	0	0	0.477744	0	0.711015	0	0	0	0	0.4968784	1.020589	0.5800888	1.914264	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	-1.23821	0	0	0	0	0	-0.863576	-0.54793	1.91426	0.496878	2.411142	1	0.243776	0.578146
1660	-956.9867	-934.8157	-22.17097	0.672177	0.672177	0.672177	3.33097	1.24837	1.30842	5.34662	5.59558	3.18379	7.03718	1	1	1	1.31434	0.492586	0.516279	0.672177	0.672177	0.672177	0	0	0	0	-0.849092	0	0.119658	-0.899251	0	0	0	-0.145148	0.5428359	1.25596	0.6721766	1.758816	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	-0.899535	0	0	0	-0.54793	1.75882	0.542836	2.301652	1.31434	0.492586	0.516279
1670	-961.2129	-934.7748	-26.43816	1.09308	0.896491	1.57772	3.80096	1.21592	1.69227	5.63455	6.11089	3.36787	7.54507	1.62618	1.33371	2.34718	1.32891	0.425116	0.591659	1.09308	0.896491	1.57772	0	0	0	0	0	0	0.403303	-0.899251	-1.44242	0	-0.843561	0	0.3943666	1.379135	0.6721766	1.984979	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0.295401	0	0.298038	-0.625689	0	0.813707	0	-0.54793	1.98498	0.394367	2.379345	1.32891	0.425116	0.591659
1680	-958.1051	-933.0873	-25.01777	0.801743	1.86449	1.83325	3.60543	0.879515	1.60521	5.38432	6.30884	4.32506	7.87652	0.985571	2.29199	2.25359	1.32891	0.324177	0.591659	0.801743	1.86449	1.83325	0	0	0	0	0	-0.580327	0	-0.899251	0.0431166	0	-0.843561	0	0.8486026	1.733474	0.8134811	1.720194	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0.159981	0	0	0.813707	-0.271072	-0.54793	1.72019	0.848603	2.568796	1.32891	0.324177	0.591659
1690	-954.9031	-932.3865	-22.51662	0.727605	2.07073	1.81886	3.86891	1.49594	1.87284	6.36576	6.74266	4.36969	8.73905	0.894433	2.54552	2.2359	1.21324	0.469105	0.587297	0.727605	2.07073	1.81886	0	0	0	0	0	0	0	-0.320657	0.33096	0	-0.573409	0	0.7077522	1.420673	0.8134811	2.213097	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0.108415	0	0.813707	0	-0.54793	2.2131	0.707752	2.92085	1.21324	0.469105	0.587297
1700	-957.1816	-933.1035	-24.07813	0.499846	2.87531	1.6566	3.58152	2.16298	2.11091	6.13735	6.08527	4.75989	8.48632	0.658021	3.78519	2.18082	0.979255	0.5914	0.577162	0.499846	2.87531	1.6566	0	0	0	0	0	0	0	0	1.24155	0	0.0621889	0	0.2976426	1.412985	0.7596205	2.538223	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	-0.21279	0	0	0.732347	0.0648655	0.813707	0	-0.54793	2.53822	0.297643	2.835865	0.979255	0.5914	0.577162
1710	-963.6734	-935.6722	-28.00113	0.819039	1.32432	1.84796	3.6634	1.87497	1.93332	6.24928	5.877	3.89662	7.81845	1	1.61692	2.25626	1.19521	0.611722	0.63076	0.819039	1.32432	1.84796	0	0	0	0	0.791562	2.10823	0	0	0	0	0	-0.0946945	0.1628767	0.8889343	0.8190391	2.368069	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	-0.654102	-0.326641	0.235469	0.609818	-0.333183	0.813707	0	-0.386992	2.36807	0.162877	2.530946	1.19521	0.611722	0.63076
1720	-956.5292	-933.6681	-22.86114	0.808392	1.38601	1.27622	3.68463	1.76908	1.91548	5.78031	5.81314	3.81678	7.67382	0.618661	1.06071	0.976688	1.58826	0.76256	0.825668	0.808392	1.38601	1.27622	0	0	0	0	0	1.2416	0	-0.621469	0	0.254998	0	-0.245672	0.1445119	1.237796	1.30668	2.31992	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	-0.627573	0	0	0	0	-0.222422	0	0	2.31992	0.144512	2.464432	1.58826	0.76256	0.825668
